       t                    x1                   y1                  x2               y2                 E         I      
           0.12500000E+02          -0.75774566E+02          -0.37964299E+01           0.67306237E+02           0.54562415E+01           0.37897445E+02           0.93557968E+00
           0.12600000E+02          -0.76427067E+02          -0.38372558E+01           0.67880447E+02           0.54950224E+01           0.37897445E+02           0.93557968E+00
           0.12700000E+02          -0.77079565E+02          -0.38780816E+01           0.68454655E+02           0.55338031E+01           0.37897445E+02           0.93557968E+00
           0.12800000E+02          -0.77732061E+02          -0.39189073E+01           0.69028860E+02           0.55725835E+01           0.37897445E+02           0.93557968E+00
           0.12900000E+02          -0.78384555E+02          -0.39597329E+01           0.69603062E+02           0.56113638E+01           0.37897445E+02           0.93557968E+00
           0.13000000E+02          -0.79037048E+02          -0.40005583E+01           0.70177262E+02           0.56501439E+01           0.37897445E+02           0.93557968E+00
           0.13100000E+02          -0.79689538E+02          -0.40413836E+01           0.70751460E+02           0.56889238E+01           0.37897445E+02           0.93557968E+00
           0.13200000E+02          -0.80342026E+02          -0.40822089E+01           0.71325655E+02           0.57277035E+01           0.37897445E+02           0.93557968E+00
           0.13300000E+02          -0.80994512E+02          -0.41230340E+01           0.71899848E+02           0.57664830E+01           0.37897445E+02           0.93557968E+00
           0.13400000E+02          -0.81646996E+02          -0.41638590E+01           0.72474038E+02           0.58052624E+01           0.37897445E+02           0.93557968E+00
           0.13500000E+02          -0.82299478E+02          -0.42046840E+01           0.73048227E+02           0.58440415E+01           0.37897445E+02           0.93557968E+00
           0.13600000E+02          -0.82951958E+02          -0.42455088E+01           0.73622412E+02           0.58828205E+01           0.37897445E+02           0.93557968E+00
           0.13700000E+02          -0.83604437E+02          -0.42863335E+01           0.74196596E+02           0.59215994E+01           0.37897445E+02           0.93557968E+00
           0.13800000E+02          -0.84256913E+02          -0.43271581E+01           0.74770778E+02           0.59603780E+01           0.37897445E+02           0.93557968E+00
           0.13900000E+02          -0.84909388E+02          -0.43679826E+01           0.75344957E+02           0.59991565E+01           0.37897445E+02           0.93557968E+00
           0.14000000E+02          -0.85561861E+02          -0.44088071E+01           0.75919134E+02           0.60379348E+01           0.37897445E+02           0.93557968E+00
           0.14100000E+02          -0.86214333E+02          -0.44496314E+01           0.76493309E+02           0.60767130E+01           0.37897445E+02           0.93557968E+00
           0.14200000E+02          -0.86866802E+02          -0.44904556E+01           0.77067482E+02           0.61154910E+01           0.37897445E+02           0.93557968E+00
           0.14300000E+02          -0.87519270E+02          -0.45312798E+01           0.77641653E+02           0.61542688E+01           0.37897445E+02           0.93557968E+00
           0.14400000E+02          -0.88171736E+02          -0.45721038E+01           0.78215822E+02           0.61930465E+01           0.37897445E+02           0.93557968E+00
           0.14500000E+02          -0.88824201E+02          -0.46129278E+01           0.78789989E+02           0.62318240E+01           0.37897445E+02           0.93557968E+00
           0.14600000E+02          -0.89476664E+02          -0.46537517E+01           0.79364154E+02           0.62706014E+01           0.37897445E+02           0.93557968E+00
