  Protons  Neutrons  Experimental Binding Energy  Experimental Error  Theoretical Binding Energy  Theoretical Error 
      15        29          -0.332939E+03               0.484000E+00                  -0.322430E+03                       0.473428E-06
      15        30          -0.335871E+03               0.495000E+00                  -0.322982E+03                       0.504734E-06
      15        31          -0.336573E+03               0.690000E+00                  -0.321804E+03                       0.561050E-06
      15        32          -0.337921E+03               0.799000E+00                  -0.321470E+03                       0.598898E-06
      16        10          -0.170237E+03               0.598000E+00                  -0.163724E+03                       0.372125E-06
      16        11          -0.188368E+03               0.405000E+00                  -0.185916E+03                       0.320159E-06
      16        12          -0.209395E+03               0.159992E+00                  -0.207569E+03                       0.287447E-06
      16        13          -0.224696E+03               0.499960E-01                  -0.225221E+03                       0.254531E-06
      16        14          -0.243670E+03               0.210000E-03                  -0.242706E+03                       0.239268E-06
      16        15          -0.256725E+03               0.217000E-03                  -0.256692E+03                       0.219259E-06
      16        16          -0.271769E+03               0.100000E-05                  -0.270781E+03                       0.214517E-06
      16        17          -0.280411E+03               0.100000E-05                  -0.281766E+03                       0.202885E-06
      16        18          -0.291828E+03               0.340000E-04                  -0.293052E+03                       0.204179E-06
      16        19          -0.298814E+03               0.350000E-04                  -0.301551E+03                       0.199283E-06
      16        20          -0.308703E+03               0.180000E-03                  -0.310496E+03                       0.205386E-06
      16        21          -0.313007E+03               0.185000E-03                  -0.316914E+03                       0.208042E-06
      16        22          -0.321043E+03               0.718200E-02                  -0.323887E+03                       0.219810E-06
      16        23          -0.325416E+03               0.499980E-01                  -0.328545E+03                       0.231462E-06
      16        24          -0.333162E+03               0.400000E-02                  -0.333839E+03                       0.249956E-06
      16        25          -0.337404E+03               0.410000E-02                  -0.336997E+03                       0.270996E-06
      16        26          -0.344105E+03               0.281400E-02                  -0.340851E+03                       0.296392E-06
      16        27          -0.346734E+03               0.498800E-02                  -0.342722E+03                       0.325965E-06
      16        28          -0.351814E+03               0.523600E-02                  -0.345332E+03                       0.357684E-06
      16        29          -0.354670E+03               0.103536E+01                  -0.346089E+03                       0.394433E-06
      16        30          -0.358421E+03               0.506000E+00                  -0.347617E+03                       0.431646E-06
      16        31          -0.359445E+03               0.517000E+00                  -0.347405E+03                       0.474283E-06
      16        32          -0.362149E+03               0.576000E+00                  -0.347987E+03                       0.516203E-06
      16        33          -0.361854E+03               0.686000E+00                  -0.346927E+03                       0.563691E-06
      17        11          -0.185179E+03               0.588000E+00                  -0.181553E+03                       0.384031E-06
      17        12          -0.207594E+03               0.188674E+00                  -0.204924E+03                       0.314090E-06
      17        13          -0.224387E+03               0.210000E+00                  -0.224301E+03                       0.306618E-06
      17        14          -0.243933E+03               0.344100E-02                  -0.243424E+03                       0.252054E-06
      17        15          -0.258304E+03               0.576000E-03                  -0.259044E+03                       0.261860E-06
      17        16          -0.274044E+03               0.396000E-03                  -0.274681E+03                       0.217891E-06
      17        17          -0.285552E+03               0.340000E-04                  -0.287205E+03                       0.237935E-06
      17        18          -0.298197E+03               0.350000E-04                  -0.299948E+03                       0.201182E-06
      17        19          -0.306777E+03               0.360000E-04                  -0.309892E+03                       0.226747E-06
      17        20          -0.317088E+03               0.370000E-04                  -0.320205E+03                       0.196143E-06
      17        21          -0.323196E+03               0.114000E-03                  -0.327977E+03                       0.225465E-06
      17        22          -0.331269E+03               0.171600E-02                  -0.336232E+03                       0.202255E-06
      17        23          -0.337098E+03               0.320800E-01                  -0.342160E+03                       0.235390E-06
      17        24          -0.344919E+03               0.687160E-01                  -0.348656E+03                       0.221864E-06
      17        25          -0.350515E+03               0.595980E-01                  -0.353004E+03                       0.259195E-06
      17        26          -0.357914E+03               0.618770E-01                  -0.357986E+03                       0.256852E-06
      17        27          -0.362210E+03               0.136312E+00                  -0.360972E+03                       0.298347E-06
      17        28          -0.368159E+03               0.136170E+00                  -0.364640E+03                       0.307027E-06
      17        29          -0.371827E+03               0.208656E+00                  -0.366444E+03                       0.352318E-06
      17        30          -0.375799E+03               0.423000E+00                  -0.368967E+03                       0.370726E-06
      17        31          -0.378371E+03               0.480000E+00                  -0.369739E+03                       0.419383E-06
      17        32          -0.381256E+03               0.588000E+00                  -0.371256E+03                       0.445924E-06
      17        33          -0.382537E+03               0.600000E+00                  -0.371122E+03                       0.497577E-06
      17        34          -0.384017E+03               0.714000E+00                  -0.371752E+03                       0.530815E-06
      18        12          -0.207112E+03               0.206160E+00                  -0.202681E+03                       0.352835E-06
      18        13          -0.224798E+03               0.186000E+00                  -0.223669E+03                       0.308506E-06
      18        14          -0.246386E+03               0.176000E-02                  -0.244326E+03                       0.277822E-06
      18        15          -0.261641E+03               0.396000E-03                  -0.261485E+03                       0.249595E-06
      18        16          -0.278706E+03               0.680000E-04                  -0.278583E+03                       0.233642E-06
      18        17          -0.291447E+03               0.665000E-03                  -0.292566E+03                       0.216453E-06
      18        18          -0.306702E+03               0.360000E-04                  -0.306693E+03                       0.209642E-06
      18        19          -0.315490E+03               0.222000E-03                  -0.318014E+03                       0.199514E-06
      18        20          -0.327328E+03               0.190000E-03                  -0.329635E+03                       0.198017E-06
      18        21          -0.333927E+03               0.499200E-02                  -0.338705E+03                       0.193260E-06
      18        22          -0.343796E+03               0.100000E-05                  -0.348191E+03                       0.195867E-06
      18        23          -0.349895E+03               0.328000E-03                  -0.355340E+03                       0.197038E-06
      18        24          -0.359321E+03               0.579600E-02                  -0.362996E+03                       0.204526E-06
      18        25          -0.364980E+03               0.528900E-02                  -0.368494E+03                       0.213172E-06
      18        26          -0.373715E+03               0.158400E-02                  -0.374567E+03                       0.226837E-06
      18        27          -0.378883E+03               0.495000E-03                  -0.378635E+03                       0.243911E-06
      18        28          -0.386957E+03               0.110400E-02                  -0.383332E+03                       0.264329E-06
      18        29          -0.390622E+03               0.112800E-02                  -0.386155E+03                       0.289543E-06
      18        30          -0.395608E+03               0.307392E+00                  -0.389647E+03                       0.316395E-06
      18        31          -0.398601E+03               0.392000E+00                  -0.391379E+03                       0.348702E-06
      18        32          -0.402786E+03               0.500000E+00                  -0.393810E+03                       0.381240E-06
      18        33          -0.404212E+03               0.612000E+00                  -0.394582E+03                       0.419471E-06
      18        34          -0.406886E+03               0.624000E+00                  -0.396075E+03                       0.456906E-06
      18        35          -0.406867E+03               0.689000E+00                  -0.395997E+03                       0.500059E-06
      19        13          -0.222288E+03               0.416000E+00                  -0.220004E+03                       0.365742E-06
      19        14          -0.244415E+03               0.198000E+00                  -0.242177E+03                       0.303337E-06
      19        15          -0.260764E+03               0.204000E+00                  -0.260857E+03                       0.296514E-06
      19        16          -0.278788E+03               0.525000E-03                  -0.279406E+03                       0.247183E-06
      19        17          -0.293103E+03               0.324000E-03                  -0.294836E+03                       0.255224E-06
      19        18          -0.308558E+03               0.111000E-03                  -0.310342E+03                       0.214999E-06
      19        19          -0.320630E+03               0.190000E-03                  -0.323036E+03                       0.232071E-06
      19        20          -0.333708E+03               0.100000E-05                  -0.335962E+03                       0.197925E-06
